unit_id,date,kri_failed_txn_7d,kri_downtime_hours_30d,kri_queue_len_mean_14d,incidents_count_90d,sum_loss_amt_365d,days_since_last_incident,num_controls,avg_control_effectiveness,pct_controls_tested_12m,open_audit_finding_count,attrition_rate_90d,avg_tenure_months,major_release_last_30d,open_changes_count,incident_narrative,regulatory_alert_score,third_party_incident_count,target_event_30d,target_severity_amt
UNIT_049,9/28/24,3,3.75,12,1,308.06,280,18,3.758,0.121,0,0.0307,88.39,0,0,Process failure leading to 4267 loss; root cause: human error; impacted accounts: multiple.,0.051,0,0,0
UNIT_106,2/19/23,7,6.505,12,3,8069.09,190,26,3.889,0.414,1,0.0206,33.94,0,1,,0.615,1,0,0
UNIT_021,10/14/24,6,5.898,19,6,3089.63,50,12,4.19,0.203,0,0.0193,7.51,0,0,Process failure leading to 14310 loss; root cause: human error; impacted accounts: multiple.,0.387,1,0,0
UNIT_071,8/10/23,1,0.126,6,1,2222.69,366,18,4.516,0.314,0,0.0046,60.93,0,1,,0.117,0,0,0
UNIT_110,2/9/23,3,4.326,10,1,9504.53,338,8,2.917,0.179,1,0.0157,67.55,0,2,,0.287,0,0,0
UNIT_100,12/17/23,1,5.326,0,2,3858.33,309,17,4.22,0.025,2,0.0356,28.23,0,1,,0.193,1,0,0
UNIT_001,5/6/24,2,3.416,12,2,2321.72,389,5,2.157,0.17,2,0.02,39.11,0,0,,0.118,0,0,0
UNIT_010,6/26/24,3,3.862,14,3,653.22,26,20,3.362,0.19,2,0.0446,15.3,0,0,,0.117,0,0,0
UNIT_032,2/28/23,4,4.888,9,0,5623.22,192,10,1.663,0.303,1,0.0358,7.02,0,0,,0.017,0,0,0
UNIT_035,7/3/24,2,1.752,3,0,667.02,297,20,3.431,0.215,2,0.0049,37.11,1,2,,0.149,0,0,0
UNIT_082,4/20/24,3,4.554,6,1,181.45,314,6,2.898,0.436,0,0.0115,74.79,1,4,,0.021,1,0,0
UNIT_023,11/29/24,1,1.388,9,0,329.49,132,14,4.233,0.537,0,0.0308,55.29,0,1,,0.221,0,0,0
UNIT_031,8/13/23,7,4.557,11,5,5785.22,396,10,3.219,0.452,0,0.0194,23.21,0,0,,0.066,0,0,0
UNIT_048,6/23/24,6,4.91,15,3,4020.93,204,17,2.817,0.343,1,0.018,1,0,0,,0.111,0,0,0
UNIT_098,10/24/23,6,3.333,0,1,467.38,362,4,1.623,0.105,2,0.002,56.21,0,0,,0.134,0,0,0
UNIT_069,6/23/24,5,3.886,8,2,2391.29,334,5,4.141,0.548,0,0.0369,81.67,1,0,,0.176,0,0,0
UNIT_080,12/27/23,6,6.328,13,1,22058.13,105,16,2.575,0.569,1,0.0194,63.6,0,0,Process failure leading to 2253 loss; root cause: human error; impacted accounts: multiple.,0.202,0,0,0
UNIT_089,3/11/24,3,2.805,8,3,2871.49,369,13,5,0.286,1,0.0164,28.77,0,0,,0.045,0,0,0
UNIT_037,11/16/23,6,4.95,10,2,3121.09,361,1,3.778,0.157,0,0.0145,32.88,0,0,,0.29,0,0,0
UNIT_096,3/5/23,3,3.681,6,1,1588.31,385,12,5,0.181,0,0.0177,68.33,0,0,,0.069,0,0,0
UNIT_071,7/6/24,1,2.465,8,2,3029.37,377,24,3.907,0.179,0,0.0046,19.62,0,0,Process failure leading to 1532 loss; root cause: human error; impacted accounts: multiple.,0.336,1,0,0
UNIT_011,9/18/24,0,2.141,13,0,1911.19,334,16,1.185,0.211,1,0.0237,35.45,0,1,Near miss detected during scheduled change. No loss recorded.,0.035,0,0,0
UNIT_032,1/28/23,4,5.246,15,0,682.38,399,10,2.574,0.148,1,0.0164,67.5,0,0,,0.376,0,0,0
UNIT_084,12/16/23,7,9.81,17,6,7956.7,16,8,4.455,0.471,1,0.0028,88.45,0,0,,0.198,1,0,0
UNIT_009,10/13/24,9,8.161,12,6,324.91,380,2,2.132,0.329,4,0.0258,34.59,0,0,,0.489,0,0,0
UNIT_050,3/22/24,7,2.199,9,3,5711.32,276,7,3.404,0.546,2,0.0421,45.28,0,0,Process failure leading to 56287 loss; root cause: human error; impacted accounts: multiple.,0.396,0,0,0
UNIT_055,4/12/23,2,2.065,14,2,644.69,200,12,2.738,0.637,1,0.011,1,0,0,,0.519,0,0,0
UNIT_113,7/10/24,0,3.889,5,2,1483.71,57,13,2.428,0.318,0,0.032,59.51,0,0,,0.016,0,0,0
UNIT_032,7/9/23,4,4.767,9,2,3258.77,7,16,1.775,0.328,0,0.0091,87.54,0,0,,0.087,0,0,0
UNIT_115,1/5/23,5,2.509,8,0,35.31,175,11,5,0.106,0,0.0187,44.78,0,0,,0.376,1,0,0
UNIT_026,1/7/24,3,1.318,6,2,2640.87,277,15,2.343,0.226,2,0.0127,63.05,0,1,,0.1,0,0,0
UNIT_049,5/2/24,2,1.444,8,4,893.55,385,15,3.364,0.364,0,0.0047,67.79,0,1,,0.105,0,0,0
UNIT_030,8/12/23,7,6.15,9,3,113.93,91,27,3.479,0.259,0,0.0216,59.25,0,1,,0.13,0,0,0
UNIT_034,5/2/24,6,2.391,10,1,252.63,348,22,2.176,0.423,0,0.0258,49.03,0,0,,0.147,0,0,0
UNIT_095,5/21/24,4,3.69,0,0,793.76,102,6,1.441,0.192,0,0.0417,19.03,0,1,,0,0,0,0
UNIT_046,9/7/24,3,3.268,13,2,4865.61,135,16,3.735,0.31,1,0.0462,1,0,0,,0.21,0,0,0
UNIT_036,7/7/23,3,4.052,12,2,5201.5,254,3,4.315,0.212,0,0.0521,59.88,0,0,,0.556,1,0,0
UNIT_071,5/26/24,0,1.732,4,1,342.04,128,17,3.817,0.298,0,0.0239,60.2,0,0,Near miss detected during scheduled change. No loss recorded.,0.145,0,0,0
UNIT_019,11/15/23,7,2.583,12,2,2844.15,280,21,3.645,0.449,0,0.0141,77.19,0,0,,0.05,0,0,0
UNIT_016,10/9/24,2,3.86,9,3,2410.34,46,11,3.07,0.195,1,0.0268,31.87,0,0,,0.239,0,0,0
UNIT_029,3/7/24,3,3.844,10,2,1443.32,332,15,3.586,0.378,1,0.027,61.44,0,0,,0.523,0,0,0
UNIT_117,11/21/23,4,4.741,11,3,9549.72,364,7,2.879,0.088,0,0.029,10.51,0,0,,0.281,0,1,19906.29
UNIT_107,10/26/23,3,2.255,7,2,3441.74,335,1,2.201,0.099,1,0.0242,42.77,0,2,,0.285,0,0,0
UNIT_036,6/30/24,8,5.028,9,1,166.42,30,9,4.1,0.296,0,0.0244,10.35,0,0,,0.222,0,0,0
UNIT_116,1/15/23,5,10.143,19,3,2450.27,158,8,3.902,0.379,1,0.0405,65.22,0,0,,0.29,0,0,0
UNIT_023,4/19/23,3,0,10,3,182.42,20,15,4.575,0.213,0,0.0289,80.22,0,0,,0.478,0,0,0
UNIT_105,12/18/23,4,3.815,14,1,1338.61,198,20,2.959,0.455,1,0.0148,52.59,0,1,,0.241,1,0,0
UNIT_078,7/6/24,3,3.985,4,3,1016.92,114,11,3.745,0.066,0,0.0258,46.83,0,1,,0.163,1,0,0
UNIT_120,3/1/24,4,2.841,11,1,921.54,282,11,4.903,0.127,0,0.0175,26.91,0,0,,0.046,0,0,0
UNIT_088,4/7/23,1,6.808,4,2,484.18,263,1,4.224,0.162,0,0,54.68,0,0,,0.308,0,0,0
UNIT_004,1/31/23,5,6.235,19,1,2635.92,248,3,2.847,0.271,1,0,36.7,0,0,,0.213,0,0,0
UNIT_055,5/22/23,2,4.308,0,1,474.23,18,10,3.156,0.39,1,0.0155,4.18,0,1,,0.236,0,0,0
UNIT_093,7/14/23,3,3.516,2,2,7114.89,1,11,2.843,0.338,0,0.0165,72.7,0,0,,0.328,0,0,0
UNIT_002,1/28/24,3,5.145,11,1,28.14,279,11,4.568,0.396,0,0.0008,8.05,0,1,,0.045,1,0,0
UNIT_105,9/2/23,2,3.075,8,2,4080.69,342,16,3.106,0.025,1,0.03,37.79,0,0,,0.161,1,0,0
UNIT_024,8/1/23,3,6.232,9,3,5792.82,40,28,4.801,0.312,0,0.0278,47.54,0,0,,0.118,0,0,0
UNIT_039,12/8/24,2,2.843,5,1,11223.55,39,2,2.809,0.405,1,0.0496,55.69,0,1,,0.287,0,0,0
UNIT_004,6/21/24,4,2.11,19,2,9061.48,174,5,3.837,0.395,0,0.0002,52.54,0,0,,0.268,2,0,0
UNIT_106,10/15/24,6,6.05,13,3,19338.62,35,23,4.498,0.521,0,0.0317,87.24,0,0,,0.385,0,0,0
UNIT_083,10/12/23,3,2.448,7,1,694.1,148,5,3.739,0.107,3,0.0276,44.89,0,0,,0.198,0,0,0
UNIT_012,7/30/23,5,5.814,9,4,5219.18,167,22,2.313,0.252,0,0.0512,53.12,0,0,,0.435,0,0,0
UNIT_048,10/28/24,4,7.005,16,4,10895.28,243,16,3.598,0.515,0,0.0204,6.29,1,3,,0.2,0,0,0
UNIT_047,11/10/24,1,3.249,10,2,2383.83,158,10,1.999,0.349,1,0.0344,81.59,0,0,,0.056,0,0,0
UNIT_044,11/18/24,3,4.3,7,1,2877.19,142,10,2.24,0.328,0,0.0272,29.76,1,0,,0.343,0,0,0
UNIT_032,2/9/24,6,4.424,11,2,2629.63,362,2,2.454,0.098,0,0.0227,46.86,0,0,,0.324,0,0,0
UNIT_045,6/10/23,1,4.42,5,1,1019.74,22,22,1,0.661,0,0.0051,79.24,0,0,,0.095,0,0,0
UNIT_005,5/11/23,1,4.298,5,3,1838.85,284,3,3.336,0.047,1,0.0211,90.85,0,0,,0.09,0,0,0
UNIT_081,2/26/24,4,4.156,4,1,5342.49,391,3,1.624,0.334,1,0.013,88.7,0,0,,0.168,1,0,0
UNIT_036,3/18/23,2,2.324,5,3,4728.01,85,9,5,0.067,1,0.0102,71.89,0,0,,0.666,0,0,0
UNIT_088,8/5/24,7,3.182,12,2,2597.09,174,1,5,0.359,1,0.02,73.89,0,1,,0.313,1,0,0
UNIT_088,6/8/24,1,5.239,8,1,3517.71,103,6,5,0.181,0,0.019,96.67,0,0,,0.212,0,0,0
UNIT_094,12/23/24,4,4.364,8,0,3522.34,63,7,2.587,0.222,0,0.0233,70.59,0,1,,0.095,0,0,0
UNIT_114,7/27/24,4,1.077,10,1,1624.69,95,12,4.087,0.292,0,0.0296,1,0,1,,0.403,0,0,0
UNIT_008,7/13/23,2,4.03,9,0,177.73,398,1,1.786,0.288,1,0.0304,47.84,0,0,,0.095,0,0,0
UNIT_025,9/11/23,2,6.038,6,4,816.91,354,14,3.996,0.298,1,0.0227,51.74,0,1,,0.523,1,0,0
UNIT_074,10/1/24,3,1.99,1,1,8869.17,83,13,4.722,0.151,1,0.0178,24.15,0,0,,0.235,1,1,1878.73
UNIT_088,9/18/23,8,2.383,5,1,803.23,9,1,4.483,0.323,0,0.0162,110.84,0,0,,0.031,0,0,0
UNIT_038,7/31/23,5,4.634,10,2,19263.05,56,1,2.437,0.261,1,0.0097,79.8,0,0,Near miss detected during scheduled change. No loss recorded.,0.366,0,0,0
UNIT_024,1/9/24,6,4.301,14,3,6237.23,300,24,4.746,0.183,0,0.0238,2.05,0,0,,0.086,1,0,0
UNIT_076,4/26/24,5,5.304,19,6,5216.41,333,1,3.741,0.093,0,0.0094,31.76,1,3,,0.485,1,0,0
